schema	FAST64_6_PHYSICAL_COVERAGE_V1
status	PRELIMINARY_EXECUTION_COVERAGE_NONPROMOTING
as_of_utc	2026-09-11T00:00:00Z
classification	PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE
scope	FROZEN_FAST64_6_PHYSICAL_IO_OO_ROSTER_ONLY
workload	physical_pool_kib	mode	modeled_value	coverage_state	attempt_or_evidence	qualification_note
Btree	16.5	IO	132_lines_16896B	STRICT_TERMINAL_PRECOMPUTE	generated/fast64_6_precomputed_v1/fast64_sens_v1_btree_physical16p5_io.json	NO_LOGICAL_PROMOTION
Btree	16.5	OO	132_lines_16896B	STRICT_TERMINAL_PRECOMPUTE	generated/fast64_6_precomputed_v1/fast64_sens_v1_btree_physical16p5_oo.json	NO_LOGICAL_PROMOTION
Btree	24	IO	192_lines_24576B	STRICT_TERMINAL_PRECOMPUTE	generated/fast64_6_precomputed_v1/fast64_sens_v1_btree_physical24_io.json	NO_LOGICAL_PROMOTION
Btree	24	OO	192_lines_24576B	STRICT_TERMINAL_PRECOMPUTE	generated/fast64_6_precomputed_v3/fast64_sens_v5_btree_physical24_oo.json	NO_LOGICAL_PROMOTION
Btree	32	IO	256_lines_32768B	STRICT_TERMINAL_PRECOMPUTE	generated/fast64_6_precomputed_v4/fast64_sens_v6_btree_physical32_io.json	NO_LOGICAL_PROMOTION
Btree	32	OO	256_lines_32768B	STRICT_TERMINAL_PRECOMPUTE	generated/fast64_6_precomputed_v4/fast64_sens_v6_btree_physical32_oo.json	NO_LOGICAL_PROMOTION
Btree	40	IO	320_lines_40960B	STRICT_TERMINAL_PRECOMPUTE	generated/fast64_6_precomputed_v3/fast64_sens_v5_btree_physical40_io.json	NO_LOGICAL_PROMOTION
Btree	40	OO	320_lines_40960B	STRICT_TERMINAL_PRECOMPUTE	generated/fast64_6_precomputed_v3/fast64_sens_v5_btree_physical40_oo.json	NO_LOGICAL_PROMOTION
Btree	48	IO	384_lines_49152B	STRICT_TERMINAL_PRECOMPUTE	generated/fast64_6_precomputed_v3/fast64_sens_v5_btree_physical48_io.json	NO_LOGICAL_PROMOTION
Btree	48	OO	384_lines_49152B	STRICT_TERMINAL_PRECOMPUTE	generated/fast64_6_precomputed_v3/fast64_sens_v5_btree_physical48_oo.json	NO_LOGICAL_PROMOTION
